Cartella;Istanza;Run;Metodo;Costo;Tempo_Metodo
n25;C208.txt;1;Tabu_G1;224.6000000000001;23.03390645980835
n25;C208.txt;1;VNS_G1;214.49999999999997;0.1535193920135498
n25;C208.txt;1;Greedy_2;1273.0;0.0003859996795654297
n25;C208.txt;1;G2_Neigh1_Insertion;227.29999999999959;0.05221724510192871
n25;C208.txt;1;G2_Neigh2_OrOpt;1273.0;2.0265579223632812e-05
n25;C208.txt;1;G2_Neigh3_Swap;1273.0;9.918212890625e-05
n25;C208.txt;1;SA2_on_Neigh1;214.5;2.781254768371582
n25;C208.txt;1;SA2_on_Neigh2;214.5;3.2248291969299316
n25;C208.txt;1;SA2_on_Neigh3;227.29999999999998;2.6917288303375244
n25;C208.txt;1;GRASP_G2;214.50000000000014;5.513829946517944
n25;C208.txt;1;Tabu_G2;214.69999999999962;24.004847049713135
n25;C208.txt;1;VNS_G2;214.49999999999997;0.1747121810913086
n25;C208.txt;1;Memetic_Algorithm;214.49999999999991;16.494829177856445
n25;C208.txt;2;Greedy_1;305.3;0.0009794235229492188
n25;C208.txt;2;G1_Neigh1_Insertion;224.6000000000001;0.02019190788269043
n25;C208.txt;2;G1_Neigh2_OrOpt;297.40000000000003;0.0014176368713378906
n25;C208.txt;2;G1_Neigh3_Swap;296.20000000000005;0.0008575916290283203
n25;C208.txt;2;SA1_on_Neigh1;214.5;2.3919832706451416
n25;C208.txt;2;SA1_on_Neigh2;214.5;2.832479238510132
n25;C208.txt;2;SA1_on_Neigh3;214.5;2.284649610519409
n25;C208.txt;2;GRASP_G1;214.50000000000003;5.5604047775268555
n25;C208.txt;2;Tabu_G1;224.6000000000001;22.18444585800171
n25;C208.txt;2;VNS_G1;224.6;0.3753833770751953
n25;C208.txt;2;Greedy_2;1273.0;0.00037932395935058594
n25;C208.txt;2;G2_Neigh1_Insertion;227.29999999999959;0.05139732360839844
n25;C208.txt;2;G2_Neigh2_OrOpt;1273.0;2.0265579223632812e-05
n25;C208.txt;2;G2_Neigh3_Swap;1273.0;9.918212890625e-05
n25;C208.txt;2;SA2_on_Neigh1;214.5;2.283379554748535
n25;C208.txt;2;SA2_on_Neigh2;214.5;1.8853778839111328
n25;C208.txt;2;SA2_on_Neigh3;214.5;2.499454975128174
n25;C208.txt;2;GRASP_G2;214.49999999999991;6.848480701446533
n25;C208.txt;2;Tabu_G2;214.69999999999962;24.896201848983765
n25;C208.txt;2;VNS_G2;227.29999999999959;0.3694026470184326
n25;C208.txt;2;Memetic_Algorithm;214.49999999999983;15.952326536178589
n25;C208.txt;3;Greedy_1;305.3;0.0008738040924072266
n25;C208.txt;3;G1_Neigh1_Insertion;224.6000000000001;0.019222259521484375
n25;C208.txt;3;G1_Neigh2_OrOpt;297.40000000000003;0.0014371871948242188
n25;C208.txt;3;G1_Neigh3_Swap;296.20000000000005;0.0008924007415771484
n25;C208.txt;3;SA1_on_Neigh1;214.5;2.4121131896972656
n25;C208.txt;3;SA1_on_Neigh2;214.5;2.544964551925659
n25;C208.txt;3;SA1_on_Neigh3;229.1;1.969879388809204
n25;C208.txt;3;GRASP_G1;214.50000000000003;5.69889235496521
n25;C208.txt;3;Tabu_G1;224.6000000000001;23.109020948410034
n25;C208.txt;3;VNS_G1;224.59999999999997;0.43717265129089355
n25;C208.txt;3;Greedy_2;1273.0;0.0003764629364013672
n25;C208.txt;3;G2_Neigh1_Insertion;227.29999999999959;0.05018281936645508
n25;C208.txt;3;G2_Neigh2_OrOpt;1273.0;1.9311904907226562e-05
n25;C208.txt;3;G2_Neigh3_Swap;1273.0;9.632110595703125e-05
